sample,subject,time,treatment,Alistipes,Bacteroides,Bifidobacterium,Clostridium,Collinsella,Coprobacillus,Dialister,Dorea,Escherichia,Eubacterium,Faecalibacterium,Haemophilus,Lactobacillus,Parabacteroides,Roseburia,Ruminococcus,Streptococcus,Veillonella,,
5001-01,5001,1,0,0,0.004514608,0.003969628,0.002354059,0,0,0,0,0.404910953,0,0,0.217111081,0,0,0,0,0.141023005,0.226116667,,
5001-02,5001,2,0,5.24E-05,0.002345168,0.020960536,0.21284278,0,0.024687361,0,0,0.216637623,0,0,0.443988307,0,0,0,0,0.013989504,0.064496313,,
5001-03,5001,3,0,1.41E-05,0.00020862,0.01055937,0.20935929,0,0.01585776,0,0,0.421703345,0,0,0.169734413,0,0,0,6.27E-05,0.026215461,0.146284979,,
5001-04,5001,4,0,1.95E-05,7.69E-05,0.008691977,0.173799976,0,0,0.002164585,0,0.521013466,0,0,0.097884744,0.000860695,0,0,0,0.07138222,0.124105903,,
5002-01,5002,1,0,1.41E-05,0.732645555,0.013773989,0.041851256,0,0.004917262,0,0,0.008668607,0.003961764,0.085741725,0.01909141,0,0.00022177,0,0.050236467,0.003966325,0.034909782,,
5002-02,5002,2,0,7.78E-06,0.598150234,0.038788608,0.030926387,0,0.003232179,0.020545088,3.98E-05,0.010653546,0.010086135,0.212320075,0.020380982,0.000179554,0.000284115,0,0.046253559,0.003570314,0.004581649,,
5002-03,5002,3,0,0.000174214,0.069871553,0.000417634,0.161045986,0,0.064893142,0,0,0.121842806,0,0.124737105,0.162526178,0,0,0.00511006,0.181953502,0.001892727,0.105535094,,
5002-04,5002,4,0,0.000657311,0.046085234,0,0.111756533,0.000751181,0.046656922,0.000309502,0,0.469240029,0,0.091695147,0.130731625,0,0,0,0.064587067,0,0.037529448,,
5003-01,5003,1,0,0.337185632,0.219625186,0.000915686,0.001943242,0.328169319,0,0,0.01106703,5.54E-05,0.002545083,0.054474616,2.80E-05,0,0.002940555,0.001666339,0.013573916,0.025671433,0.000138556,,
5003-02,5003,2,0,0.364713154,0.260106795,0.08190862,0.009705015,0.121044905,0,0,0.011038337,0.001705832,0.006901096,0.059825823,0,0.00349781,0.011937065,0.001352012,0.019616693,0.046606779,4.01E-05,,
